Europe/San_Marino,+01:00,+02:00,CET,CEST
Europe/Sarajevo,+01:00,+02:00,CET,CEST
Europe/Saratov,+04:00,+04:00,MSK+1,MSK+1
Europe/Simferopol,+03:00,+03:00,MSK,MSK
Europe/Skopje,+01:00,+02:00,CET,CEST
Europe/Sofia,+02:00,+03:00,EET,EEST
Europe/Stockholm,+01:00,+02:00,CET,CEST
Europe/Tallinn,+02:00,+03:00,EET,EEST
Europe/Tirane,+01:00,+02:00,CET,CEST
Europe/Tiraspol,+02:00,+03:00,EET,EEST
Europe/Ulyanovsk,+04:00,+04:00,SAMT,SAMT
Europe/Uzhgorod,+02:00,+03:00,EET,EEST
Europe/Vaduz,+01:00,+02:00,CET,CEST
Europe/Vatican,+01:00,+02:00,CET,CEST
Europe/Vienna,+01:00,+02:00,CET,CEST
Europe/Vilnius,+02:00,+03:00,EET,EEST
Europe/Volgograd,+03:00,+03:00,MSK,MSK
Europe/Warsaw,+01:00,+02:00,CET,CEST
Europe/Zagreb,+01:00,+02:00,CET,CEST
Europe/Zaporozhye,+02:00,+03:00,EET,EEST
Europe/Zurich,+01:00,+02:00,CET,CEST
GB,+00:00,+01:00,GMT,BST
GB-Eire,+00:00,+01:00,GMT,BST
GMT,+00:00,+00:00,GMT,GMT
GMT+0,+00:00,+00:00,GMT,GMT
GMT-0,+00:00,+00:00,GMT,GMT
GMT0,+00:00,+00:00,GMT,GMT
Greenwich,+00:00,+00:00,GMT,GMT
Hongkong,+08:00,+08:00,HKT,HKT
HST,-10:00,-10:00,HST,HST
Iceland,+00:00,+00:00,GMT,GMT
Indian/Antananarivo,+03:00,+03:00,EAT,EAT
Indian/Chagos,+06:00,+06:00,IOT,IOT
Indian/Christmas,+07:00,+07:00,CXT,CXT
Indian/Cocos,+06:30,+06:30,UTC+6.5,UTC+6.5
Indian/Comoro,+03:00,+03:00,EAT,EAT
Indian/Kerguelen,+05:00,+05:00,UTC+5,UTC+5
Indian/Mahe,+04:00,+04:00,UTC+4,UTC+4
Indian/Maldives,+05:00,+05:00,UTC+5,UTC+5
Indian/Mauritius,+04:00,+04:00,UTC+4,UTC+4
